date,num
2020/6/1,440
2020/6/2,440
2020/6/3,357
2020/6/4,423
2020/6/5,422
2020/6/6,395
2020/6/7,394
2020/6/8,436
2020/6/9,412
2020/6/10,392
2020/6/11,378
2020/6/12,523
2020/6/13,822
2020/6/14,661
2020/6/15,758
2020/6/16,719
2020/6/17,787
2020/6/18,578
2020/6/19,469
2020/6/20,387
2020/6/21,323
2020/6/22,363
2020/6/23,343
2020/6/24,336
2020/6/25,263
2020/6/26,300
2020/6/27,279
2020/6/28,295
2020/6/29,370
2020/6/30,328
2020/7/1,352
2020/7/2,299
2020/7/3,275
2020/7/4,281
2020/7/5,274
